Unnamed: 0,date,site,SNOD,ant1d_SNOD,delta,day,pai_mean,pai_sd,rumple,height_max,height_mean,height_95pct,canopy_relief_ratio,entropy,pct_conifer,ndvi_total_mean,ndvi_con_mean,vertical_gap_fraction,Elevation,X,mean_temp,max_temp,min_temp,total_solar,pressure,rel_humidity,precip,avg_wind_speed,max_wind_speed,ant3d_precip
92,2022-12-03,SUMM,15.5167,18.5167,-3.0,337,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3236,-0.226662599643097,3.14000411719081,-4.05999599009755,698.600010409951,89912.5,81.7382089939886,4.60000006854534,13.1851789165429,17.8488097500764,32.4000004827976
97,2022-12-04,SUMM,16.0167,15.5167,0.5,338,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3237,-8.08499605007472,-2.25999596327546,-10.8599960914254,1498.00002232194,89811.25,92.7396165784505,1.10000001639128,9.69032427497577,17.8025281756623,8.60000012814999
102,2022-12-05,SUMM,15.5167,16.0167,-0.5,339,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3238,-5.53916267880552,-0.6599959394336,-8.35999605417254,1971.9000293836,90035.8333333333,70.8916797061955,0.0,9.76546717215055,11.9920808989046,5.70000008493662
107,2022-12-06,SUMM,12.5167,15.5167,-3.0,340,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3239,-0.551662604485974,1.94000409930942,-3.45999598115685,1138.00001695752,90697.9166666667,78.6620816320735,5.70000008493662,9.95564321255569,14.0346003103104,5.70000008493662
114,2022-12-07,SUMM,7.5167,12.5167,-5.0,341,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3240,3.69417079211521,6.64000416934488,2.04000410079954,610.900009103119,90483.3333333333,100.0,25.3000003769994,10.7791927097586,14.2611362121395,6.8000001013279
121,2022-12-08,SUMM,7.5167,7.5167,0.0,342,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3241,-2.51832930045826,3.24000411868093,-6.55999602735045,1340.10001996905,90332.5,100.0,1.20000001788139,7.80132761395365,11.2432203468273,31.000000461936
127,2022-12-09,SUMM,7.5167,7.5167,0.0,343,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3242,-7.6349960433692,-6.45999602586033,-8.85999606162312,2218.00003305078,90642.5,87.0024390317197,0.0,8.1481534995568,9.60260395663969,32.2000004798174
134,2022-12-10,SUMM,7.5167,7.5167,0.0,344,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3243,-8.48082938930643,-5.15999600648883,-9.9599960780144,2244.1000334397,90878.75,63.2026800203179,0.0,4.86278397838454,8.02122197158771,26.5000003948808
143,2022-12-11,SUMM,11.5167,7.5167,4.0,345,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3244,-6.62666269501053,-5.15999600648883,-8.15999605119231,1804.60002689064,90522.5,78.4000191943604,2.20000003278255,4.83401120155968,7.74661227817924,1.20000001788139
152,2022-12-12,SUMM,11.5167,11.5167,0.0,346,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3245,-9.30999606832864,-5.35999600946906,-12.9599961227179,2197.80003274977,90103.75,88.2568736633187,1.00000001490116,4.2669478622828,8.69770097523166,2.20000003278255
161,2022-12-13,SUMM,12.5167,11.5167,1.0,347,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3246,-10.0474960793183,-8.85999606162312,-12.4599961152673,2122.10003162175,90242.9166666667,82.7498109962862,0.0,9.59130368903566,11.5277926751148,3.20000004768372
171,2022-12-14,SUMM,13.5167,12.5167,1.0,348,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3247,-12.3849961141497,-6.55999602735045,-16.4599961748719,1013.90001510829,89867.5,98.1276585387948,0.600000008940697,9.47028501841446,13.597794141347,3.20000004768372
181,2022-12-15,SUMM,12.5167,13.5167,-1.0,349,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3248,-4.96416267023735,-2.95999597370627,-6.55999602735045,2069.0000308305,90439.5833333333,100.0,0.0,9.38168105397009,17.5616061108127,1.60000002384186
192,2022-12-16,SUMM,52.2667,12.5167,39.75,350,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3249,-5.40582934348536,-4.75999600052836,-6.65999602884057,918.800013691187,89562.9166666667,100.0,8.30000012367964,12.691403825276,14.6632195103189,0.600000008940697
203,2022-12-17,SUMM,55.5167,52.2667,3.25,351,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3250,-5.08499600537124,-4.15999599158766,-6.95999603331092,1193.00001777709,88581.25,100.0,9.50000014156103,6.30024946508727,11.4179684657705,8.90000013262033
214,2022-12-18,SUMM,52.5167,55.5167,-3.0,352,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3251,-8.10999605044725,-6.95999603331092,-8.85999606162312,968.200014427304,88876.25,100.0,0.500000007450581,4.95582195322397,7.83900515571668,17.8000002652407
225,2022-12-19,SUMM,56.5167,52.5167,4.0,353,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3252,-8.87249606180939,-8.35999605417254,-9.45999607056382,996.700014851987,89559.5833333333,100.0,0.600000008940697,6.48553041719742,9.97647247108041,18.3000002726912
237,2022-12-20,SUMM,55.5167,56.5167,-1.0,354,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3253,-9.29332940141362,-7.15999603629115,-10.459996085465,1134.00001689792,90447.9166666667,100.0,0.0,6.96205764437013,10.429285845234,10.6000001579523
249,2022-12-21,SUMM,52.5167,55.5167,-3.0,355,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3254,-9.00166273040079,-4.85999600201848,-11.4599961003661,1758.90002620965,90776.6666666667,96.0995393916944,0.0,3.09492247493954,7.4946648806999,1.10000001639128
261,2022-12-22,SUMM,51.5167,52.5167,-1.0,356,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3255,-7.42666270693146,-5.35999600946906,-9.25999606758359,1660.80002474785,90885.4166666667,99.7696177638229,0.0,5.47444605941867,12.9495175584865,0.600000008940697
274,2022-12-23,SUMM,74.5167,51.5167,23.0,357,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3256,-1.94332929189009,3.24000411868093,-7.75999604523184,806.600012019277,88182.9166666667,100.0,76.9000011458993,15.9236440552132,22.8319954348268,0.0
287,2022-12-24,SUMM,71.5167,74.5167,-3.0,358,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3257,-19.2391628829514,-10.2599960824847,-21.5599962508679,1038.90001548082,87106.6666666667,92.5241377083205,12.0000001788139,12.8429894289082,15.1644322957815,76.9000011458993
300,2022-12-25,SUMM,69.5167,71.5167,-2.0,359,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3258,-17.5349961908907,-13.3599961286783,-20.1599962300062,691.700010307133,88032.0833333333,93.9240283688872,0.0,11.7281571302648,14.2341141641568,88.9000013247132
313,2022-12-26,SUMM,75.5167,69.5167,6.0,360,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3259,-13.4599961301685,-12.0599961093068,-14.5599961465597,1177.60001754761,89220.0,99.5261092262553,1.10000001639128,9.82563762454199,11.9920808989046,88.9000013247132
325,2022-12-27,SUMM,75.5167,75.5167,0.0,361,0.531964709957134,0.37599534986294,1.15116758276749,1.89317280453258,0.845690280137932,1.64348866855524,0.364873409252604,0.767791155592941,0.220178372352285,0.110550909185658,0.362748441941922,0.368715083798883,1168.568,3260,-12.5849961171299,-11.6599961033464,-13.2599961271882,787.400011733174,89807.5,100.0,1.60000002384186,7.30645236929055,10.1316337803539,13.1000001952052
