Unnamed: 0,date,site,SNOD,ant1d_SNOD,delta,day,pai_mean,pai_sd,rumple,height_max,height_mean,height_95pct,canopy_relief_ratio,entropy,pct_conifer,ndvi_total_mean,ndvi_con_mean,vertical_gap_fraction,Elevation,X,mean_temp,max_temp,min_temp,total_solar,pressure,rel_humidity,precip,avg_wind_speed,max_wind_speed,ant3d_precip
265,2022-12-23,PTSH,2.7381,-1.2619,4.0,357,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,1986,4.70250414047388,11.8400042468309,-1.75999595582488,812.600012108684,98799.5833333333,80.218309955179,25.9000003859401,5.08918873299333,13.7032844820605,0.0
278,2022-12-24,PTSH,1.7381,2.7381,-1.0,358,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,1987,-10.8933294252555,-4.95999600350859,-13.4599961301685,1075.5000160262,98509.1666666667,69.4243139720272,5.50000008195639,7.50144740420745,10.1710374634572,25.9000003859401
291,2022-12-25,PTSH,0.7381,1.7381,-1.0,359,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,1988,-9.00166273040079,-3.45999598115685,-11.359996098876,740.30001103133,99442.0833333333,63.0124799066121,0.0,7.37001521641891,9.16624255101245,31.4000004678965
304,2022-12-26,PTSH,0.654766666666667,0.7381,-0.0833333333333334,360,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,1989,-4.75166266707085,-2.55999596774581,-6.95999603331092,1239.00001846254,100623.75,65.8150721840359,0.0,3.94707160279792,5.62938726189943,31.4000004678965
517,2023-01-13,PTSH,2.7381,-0.2619,3.0,13,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,2007,0.202504073418652,2.24000410377977,-2.35999596476557,916.800013661385,99662.5,94.4830920858852,20.8000003099442,3.9875065793861,7.11758396576996,1.40000002086163
530,2023-01-14,PTSH,2.7381,2.7381,0.0,14,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,2008,-4.9683293369661,-2.65999596923592,-6.05999601989987,658.700009815395,100656.25,87.7647424911962,0.0,5.41040368254372,6.84470608545311,22.1000003293157
543,2023-01-15,PTSH,2.7381,2.7381,0.0,15,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,2009,-6.45166269240282,-5.15999600648883,-7.75999604523184,2585.40003852546,101568.333333333,83.5854276325572,0.0,5.45921801369751,6.67532780678159,22.1000003293157
556,2023-01-16,PTSH,2.7381,2.7381,0.0,16,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,2010,-7.96832938166959,-4.85999600201848,-10.1599960809946,1710.60002548993,101193.75,81.3382126649926,0.0,4.59164172194077,5.81377682813148,20.8000003099442
569,2023-01-17,PTSH,0.7381,2.7381,-2.0,17,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,2011,-3.21416264416032,1.44000409185884,-7.4599960407615,2318.60003454983,99917.5,75.8089272662753,0.0,2.18210726461983,3.66878732023802,0.0
594,2023-01-19,PTSH,0.7381,-0.2619,1.0,19,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,2013,-0.172495932169284,0.940004084408258,-1.45999595135453,2300.10003427416,100692.916666667,84.7670675034783,0.0,1.62148579386758,3.16227770728999,0.700000010430813
609,2023-01-20,PTSH,1.7381,0.7381,1.0,20,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,2014,0.0358374042684583,1.34000409036872,-1.05999594539406,767.300011433661,99560.8333333333,94.8994187805775,13.6000002026558,1.6020414596447,5.18652106924116,0.700000010430813
636,2023-01-22,PTSH,2.9881,-0.7619,3.75,22,0.805037636806193,0.548542032093234,1.54421985500831,16.5899706744868,9.39042700673366,15.8703709677419,0.522764418476563,0.417810825422865,0.972770213948319,0.439573496225917,0.446170112738591,0.124293785310734,44.711,2016,-2.05999596029523,-0.559995937943484,-3.65999598413708,1865.90002780408,101179.583333333,85.4552703997247,0.0,2.80462413880236,5.2038448100464,15.0000002235174
