Unnamed: 0,date,site,SNOD,ant1d_SNOD,delta,day,pai_mean,pai_sd,rumple,height_max,height_mean,height_95pct,canopy_relief_ratio,entropy,pct_conifer,ndvi_total_mean,ndvi_con_mean,vertical_gap_fraction,Elevation,X,mean_temp,max_temp,min_temp,total_solar,pressure,rel_humidity,precip,avg_wind_speed,max_wind_speed,ant3d_precip
1239,2023-03-05,JRCL,17.6119,19.3391727272727,-1.72727272727273,64,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,153,-0.397495935522045,3.14000411719081,-2.35999596476557,2310.10003442317,99155.0,87.2790241270816,0.900000013411045,1.32924877212813,2.68700580854839,17.2000002563
1256,2023-03-06,JRCL,15.666247826087,17.6119,-1.94565217391304,65,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,154,-1.44749595116826,2.94000411421058,-5.65999601393941,5468.70008148998,99331.6666666667,66.8917437871791,0.0,3.17913288483215,6.27694202412381,16.0000002384186
1273,2023-03-07,JRCL,15.6119,15.666247826087,-0.0543478260869552,66,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,155,-4.54332933063311,-1.75999595582488,-7.05999603480103,3183.40004743636,98656.6666666667,66.7069932317956,2.80000004172325,3.34806022901336,6.68505806495843,15.2000002264977
1290,2023-03-08,JRCL,16.6119,15.6119,0.999999999999998,67,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,156,-4.39749599512669,-1.75999595582488,-5.95999601840975,2494.70003717393,99707.5,77.1710745096958,0.400000005960464,3.07426746828724,4.20119037012261,3.7000000551343
1307,2023-03-09,JRCL,15.6119,16.6119,-0.999999999999998,68,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,157,-2.56832930120332,-0.059995930492903,-4.05999599009755,2915.20004343987,99864.1666666667,77.3175810037952,0.0,2.07455638743025,3.60000005364418,3.20000004768372
1324,2023-03-10,JRCL,14.6119,15.6119,-1.0,69,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,158,-4.04332932318253,2.04000410079954,-10.459996085465,3720.30005543679,99367.0833333333,73.0589216984812,0.0,1.56046321802071,3.2449961962718,3.20000004768372
1341,2023-03-11,JRCL,13.6119,14.6119,-1.0,70,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,159,-4.52249599698933,0.140004072487329,-8.45999605566266,4143.90006174892,98664.5833333333,76.8325503393562,0.0,1.58949558739599,2.8635642553257,0.400000005960464
1358,2023-03-12,JRCL,15.6119,13.6119,2.0,71,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,160,-3.19332931051654,6.24000416338441,-10.1599960809946,5792.300086312,99150.4166666667,73.7311719959517,0.0,0.878731542108753,3.14006374041211,0.0
1375,2023-03-13,JRCL,13.6119,15.6119,-2.0,72,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,161,1.26917075597989,4.14000413209197,-1.35999594986441,1364.8000203371,98936.25,72.2309878414522,0.0,2.00106131795064,3.68781783786992,0.0
1392,2023-03-14,JRCL,27.1119,13.6119,13.5,73,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,162,0.427504076771413,2.34000410526988,-0.459995936453367,3554.90005297214,98085.8333333333,91.8959938511137,14.5000002160668,2.05941723966161,4.40113628251512,0.0
1409,2023-03-15,JRCL,26.6119,27.1119,-0.5,74,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,163,-0.380829268607026,1.8400040978193,-2.25999596327546,2763.50004117936,98112.5,88.1075396365761,11.4000001698732,5.05350391151483,6.87095345690594,14.5000002160668
1426,2023-03-16,JRCL,28.6119,26.6119,2.0,75,0.138927877287914,0.240645351222147,2.08559461709444,2.60919540229885,0.942010540316167,2.29691235632184,0.23691170740978,0.413580232693843,0.116143373159211,0.183505244275279,0.257897153670174,0.725490196078431,199.0,164,-2.16832929524285,1.8400040978193,-8.15999605119231,2724.70004060119,98854.5833333333,77.03507715031,0.200000002980232,0.840222005245615,2.41867736053067,25.9000003859401
